NAME,MEDIAN_INCOME,BACHELORS_PERCENT,POPULATION,UNEMPLOYMENT_RATE,ZIP_CODE
ZCTA5 58027,59375.0,145.0,1450.0,21.0,58027
ZCTA5 58029,127250.0,23.0,77.0,7.0,58029
ZCTA5 58030,70469.0,96.0,662.0,18.0,58030
ZCTA5 58031,89167.0,28.0,399.0,1.0,58031
ZCTA5 58032,75750.0,105.0,747.0,3.0,58032
ZCTA5 58033,103125.0,44.0,433.0,7.0,58033
ZCTA5 58035,120625.0,45.0,263.0,0.0,58035
ZCTA5 58036,88750.0,98.0,337.0,0.0,58036
ZCTA5 58038,102917.0,54.0,248.0,2.0,58038
ZCTA5 58040,70000.0,77.0,1001.0,18.0,58040
ZCTA5 58041,78529.0,166.0,1520.0,29.0,58041
ZCTA5 58042,135547.0,368.0,1291.0,3.0,58042
ZCTA5 58043,98750.0,19.0,132.0,0.0,58043
ZCTA5 58045,76354.0,413.0,2103.0,14.0,58045
ZCTA5 58046,79583.0,71.0,739.0,10.0,58046
ZCTA5 58047,148833.0,780.0,4427.0,12.0,58047
ZCTA5 58048,89688.0,74.0,462.0,4.0,58048
ZCTA5 58049,100568.0,58.0,292.0,2.0,58049
ZCTA5 58051,115875.0,463.0,1866.0,19.0,58051
ZCTA5 58052,91667.0,108.0,562.0,14.0,58052
ZCTA5 58053,48586.0,115.0,1368.0,10.0,58053
ZCTA5 58054,70625.0,394.0,3183.0,49.0,58054
ZCTA5 58056,30833.0,59.0,141.0,0.0,58056
ZCTA5 58057,76607.0,30.0,180.0,0.0,58057
ZCTA5 58058,73214.0,8.0,129.0,0.0,58058
ZCTA5 58059,110682.0,284.0,1462.0,21.0,58059
ZCTA5 58060,69894.0,133.0,1201.0,2.0,58060
ZCTA5 58061,76719.0,33.0,320.0,1.0,58061
ZCTA5 58062,69500.0,4.0,152.0,3.0,58062
ZCTA5 58063,95833.0,59.0,401.0,7.0,58063
ZCTA5 58064,70625.0,65.0,463.0,12.0,58064
ZCTA5 58065,-666666666.0,0.0,9.0,0.0,58065
ZCTA5 58067,91250.0,31.0,259.0,1.0,58067
ZCTA5 58068,76042.0,32.0,314.0,3.0,58068
ZCTA5 58069,65000.0,3.0,130.0,0.0,58069
ZCTA5 58071,92500.0,101.0,411.0,4.0,58071
ZCTA5 58072,58803.0,1205.0,7928.0,146.0,58072
ZCTA5 58074,-666666666.0,0.0,35.0,0.0,58074
ZCTA5 58075,60451.0,1022.0,8955.0,111.0,58075
ZCTA5 58076,-666666666.0,0.0,528.0,19.0,58076
ZCTA5 58077,96667.0,136.0,759.0,4.0,58077
ZCTA5 58078,97231.0,7525.0,39243.0,190.0,58078
ZCTA5 58079,79750.0,25.0,452.0,0.0,58079
ZCTA5 58081,81667.0,95.0,785.0,12.0,58081
ZCTA5 58102,56823.0,5431.0,32256.0,875.0,58102
ZCTA5 58103,56786.0,7871.0,48577.0,1172.0,58103
